UserScreenName,UserName,Timestamp,Text,Embedded_text,Comments,Likes,Retweets,Date,text_length,Embedded_text_cleaned
Andrés Langebaek,@ALangebaek,2021-12-01 20:43:12+00:00,"Andrés Langebaek
@ALangebaek
·
1 dic.","La confianza se afectó. El indicador de confianza Davivienda tuvo una  leve caída en noviembre, rompiendo una tendencia de cinco meses de mejoras. El indicador se deterioró, especialmente en la última semana del mes, asociado al aumento en la tasa de cambio.
1
7
19",1,7,19,2021-12-01,265,confianza afectar indicador confianza leve caída noviembre romper tendencia mes mejora indicador deteriorar especialmente semana asociado aumento tasa cambio
Plaza Futura,@plaza_futura,2021-12-01 21:18:10+00:00,"Plaza Futura
@plaza_futura
·
1 dic.","Buscamos la accesibilidad y mejor atención en tus trámites bancarios, es por ello que encuentras en nuestra plaza los siguientes bancos para tu preferencia.
 Banco Cuscatlán
 Banco Fedecrédito
 Davivienda
 Bancoagrícola
 Banco Promerica",0,0,0,2021-12-01,236,buscar accesibilidad atención trámite bancario encontrar plaza preferencia cuscatlán fedecrédito bancoagrícola promerico
Julián Martinez,@JulianM998,2021-12-01 22:49:11+00:00,"Julián Martinez
@JulianM998
·
1 dic.","Señores 
@Davivienda
 no he podido ingresar a mi app davivienda, ingreso la cédula y me dice verifique los datos, llevo así varios días.
1
1",1,0,1,2021-12-01,140,señor ingresar ingreso cédula verificar dato
Ferchis.,@fergomezr28,2021-12-01 12:29:07+00:00,"Ferchis.
@fergomezr28
·
1 dic.","Llevo toda una semana sufriendo intento de hurto por medios electrónicos a mi cuenta de ahorros 
@Davivienda
, sin que se puedan realizar porque no tengo plata. No felices, lo hicieron con la TC y con esta sí pudieron ya que tenía cupo libre. ¿Qué está pasando 
@Davivienda
?
2
1
2",2,1,2,2021-12-01,281,semana sufrir intento hurto electrónico contar ahorro plata feliz cupo libre pasar
MirandaL2,@MirandaSuspLo,2021-12-01 20:52:36+00:00,"MirandaL2
@MirandaSuspLo
·
1 dic.","Hemos retrocedido tanto en este país con este gobierno, que hasta los malparidos cajeros de 
@Davivienda
 dizque solo botan de 400.000 pesos y en billetes de 10.000 no seamos tan maricas !!
3
8",3,0,8,2021-12-01,193,retroceder país gobierno malparido cajero dizcar botar peso billete marica
John Jairo Peralta Bernal,@JohnJairoPe,2021-12-01 16:11:03+00:00,"John Jairo Peralta Bernal
@JohnJairoPe
·
1 dic.","Open Data, CEO, pregúntele a la gente de a pie si eso les importa, acá lo que importa es que respondan por la plata que se roban por #daviplata, a ver Davivienda #rDaviviendaNoResponde
Banco Davivienda
@Davivienda
 · 30 nov.
En su participación en el foro Open Banking: Operaciones y tendencias de futuro, organizado por @larepublica_co, Margarita Henao, CEO de @DaviPlata  expuso la necesidad de que el país, la regulación y el sistema avancen hacia el Open Data.
Mostrar este hilo
1",0,1,0,2021-12-01,484,open datar preg<UNK>nte gente importar importar plata robar daviplata rdaviviendanoresponde participación foro open banking operación tendencia futuro organizado larepublica_co margarita henao daviplata exponer necesidad país regulación sistema avanzar open datar
Universidad El Bosque,@U_ElBosque,2021-12-01 15:00:26+00:00,"Universidad El Bosque
@U_ElBosque
·
1 dic.","Conoce los requisitos de la convocatoria de Becas al Talento de Fundación Bolívar Davivienda. 
https://bddy.me/3EcTA8x",0,0,0,2021-12-01,118,requisito convocatoria beca talento fundación bolívar
Cristian Julian,@cjulianlozano,2021-12-01 00:01:49+00:00,"Cristian Julian
@cjulianlozano
·
30 nov.","Mamado de ser adulto y tener que trabajar para pagarle a 
@Davivienda",0,0,0,2021-12-01,69,mamado adulto trabajar pagar
Santiago Parra Angel,@SantiagoParraA2,2021-12-01 01:31:18+00:00,"Santiago Parra Angel
@SantiagoParraA2
·
30 nov.","#daviplata ayuda por favor, llevo más de 3 meses tratando de cambiar mi número daviplata y nadie me ayuda, esa nueva línea de WhatsApp es ineficiente, nadie responde a los cientos de radicados que he hecho, necesito que me colabore #daviplata #davivienda #asesoresdavivienda
1",0,0,1,2021-12-01,276,daviplata ayuda favor mes tratar cambiar número daviplato ayuda línea whatsapp ineficiente ciento radicado necesitar colaborar daviplata asesoresdavivienda
Andres Moreno Jaramillo,@andresmania,2021-12-01 04:27:27+00:00,"Andres Moreno Jaramillo
@andresmania
·
30 nov.","Cierto, recuerdo en 2000-2010 se vendieron empresas como Bavaria y Coltabaco. Fusiones en Grupo Sura, Grupo Argos, Bancolombia, Nutresa, Éxito, Banco de Occidente, Banco de Bogotá. Creación de Grupo Aval, Celsia. Llegada de ISA, Ecopetrol, GEB, Davivienda

¿Se repetirá 2021-2030?
Andres Palacios
@Palacios_Andres
 · 30 nov.
La @bvcColombia volvió a ser lo del 2000 , “que buenos partidos corporativos los que estamos viendo “ compañero compañero” Willian Vinasco a Adolfo Perez .  Emociónate
1
1
6",1,1,6,2021-12-01,498,recuerdo 2000 2010 vender empresa bavaria coltabaco fusión grupo suro grupo argo bancolombia nutrés éxito occidente bogotá creación grupo aval celsia llegado ecopetrol repetir 2021 2030 andre palacio palacio _andre bvccolombia volver 2000 partido corporativo compañero compañero willion vinasco adolfo perez emociónate
John Jairo Peralta Bernal,@JohnJairoPe,2021-12-01 04:58:05+00:00,"John Jairo Peralta Bernal
@JohnJairoPe
·
30 nov.","En respuesta a 
@Carlosc30443031
 y 
@Davivienda
No somos pocos si no muchos, unamonos y denunciemos esto a la súper financiera, la unión hace la fuerza
1
1",0,1,1,2021-12-01,156,carlosc30443031 unamono denunciar súper financiero unión fuerza
Daniel Sanclemente,@Dsanclemente219,2021-12-01 17:06:27+00:00,"Daniel Sanclemente
@Dsanclemente219
·
1 dic.","Llevo toda la mañana tratando de realizar un pago por PSE en 
@Davivienda
 ha sido imposible. Acaban con la poca paciencia que tengo.
2
1
1",2,1,1,2021-12-01,139,mañana tratar pago devivir imposible acabar paciencia
Juliana,@JulianaUssa3,2021-12-01 17:33:05+00:00,"Juliana
@JulianaUssa3
·
1 dic.","Nunca usen los servicios de 
@DaviPlata
 @RappiPay
 y 
@Davivienda
 una atención al cliente desastrosa e ineficiente.
2
1",2,0,1,2021-12-01,121,servicio daviplato rappipay atención cliente desastroso ineficiente
DATAiFX,@dataiFX,2021-12-01 16:29:06+00:00,"DATAiFX
@dataiFX
·
1 dic.","Problemas de suministro volvieron a lastrar el crecimiento de la producción en noviembre: PMI Davivienda https://dataifx.com/post/problemas-de-suministro-volvieron-lastrar-el-crecimiento-de-la-produccion-en-noviembre-pmi… 
@Davivienda
2
1",0,2,1,2021-12-01,238,problema suministro volver lastrar crecimiento producción noviembre
Andrea Cabana D.,@andreaCabanaD,2021-12-01 13:24:36+00:00,"Andrea Cabana D.
@andreaCabanaD
·
1 dic.","Me quiero ir de 
@Bancolombia
. Pero no a Davivienda. Alguna recomendación?
3",3,0,0,2021-12-01,77,querer bancolombia davivirdar recomendación
DATAiFX,@dataiFX,2021-12-01 13:14:39+00:00,"DATAiFX
@dataiFX
·
1 dic.","#LiveDataiFX Lo que hoy debe saber I Davivienda Corredores https://bit.ly/3rr3ksg Por 
@davicorredores
 #LoQueHoyDebeSaber",0,0,0,2021-12-01,122,livedataifx deber corredor davicorredor loquehoydebesaber
Secretaría de Movilidad de Medellín,@sttmed,2021-12-01 23:00:16+00:00,"Secretaría de Movilidad de Medellín
@sttmed
·
1 dic.","¡En #MovilidadEnLínea te damos soluciones eficientes!
 
Haz el pago de tus multas de tránsito en cualquier sucursal Cotrafa, Davivienda o Banco Popular.
 
Accede  http://bit.ly/2OmKZb6, digita el número de documento, genera el código de barras, descarga tu factura y paga.
3",0,0,3,2021-12-01,274,movilidadenlínea solución eficiente pago multa tránsito cualquiera sucursal cotrafo popular acceder digitar número documento generar código barra descarga factura pagar
Juan Correa,@judaco23,2021-12-01 15:29:42+00:00,"Juan Correa
@judaco23
·
1 dic.","@Davivienda
 ¿está caída la plataforma de pagos por PSE? llevo un buen rato intentando y no carga.
5
4",5,0,4,2021-12-01,102,caída plataforma pago rato intentar carga
Liz,@LizHenao,2021-12-01 17:36:35+00:00,"Liz
@LizHenao
·
1 dic.","Entonces en 
@Davivienda
 te debitan el dinero, pero no se ve reflejado en lo que debes pagar. Ahora solo falta que se pierda el dinero y toque pagar de nuevo.
1",1,0,0,2021-12-01,161,debitir dinero reflejado deber pagar falta perder dinero tocar pagar
Simon Nariño,@simonnarino,2021-12-01 21:43:51+00:00,"Simon Nariño
@simonnarino
·
1 dic.","@Davivienda
 en todo el día no he podido acceder a los canales virtuales ni por la app ni PC
2
1",2,0,1,2021-12-01,96,acceder canal virtual
Aura Maria Puyana,@Aumapumu,2021-12-01 03:01:52+00:00,"Aura Maria Puyana
@Aumapumu
·
30 nov.","En respuesta a 
@Davivienda
 y 
@DavidFlorezMP
Hoy no pude pagar la luz.
1",0,0,1,2021-12-01,74,davidflorezmp pagar
JUAN BERNAL,@jsbgm,2021-12-01 14:15:51+00:00,"JUAN BERNAL
@jsbgm
·
1 dic.","@Davivienda
 para cuando Apple Pay?
1
4",1,0,4,2021-12-01,39,applar
henryalexi,@henryAropero,2021-12-01 12:28:14+00:00,"henryalexi
@henryAropero
·
1 dic.","En respuesta a 
@CCSILVA86
 @claudiamzuleta
 y 
@QuintinQuinter
lastima que estén como en DAVIVIENDA
1",0,0,1,2021-12-01,102,ccsilva86 claudiamzuleta quintinquinter lastima
ContraPunto,@contra_punto,2021-12-01 20:02:47+00:00,"ContraPunto
@contra_punto
·
1 dic.","#CPNacionales | A Juan Tennant Wright le podría costar US$1 millón el insinuar que Antonio Salaverría manipuló juicio para vencer a Davivienda 
Lea acá:
contrapunto.com.sv
A Juan Tennant Wright le podría costar US$1 millón el insinuar que Antonio Salaverría manipuló...
El demandante indicó que han presentando una obra de arte jurídico penal donde se demuestran muchísimas razones para que Juan Tennant Wright sea condenado.
1
1
1",1,1,1,2021-12-01,431,cpnacional juan tennant wright costar millón insinuar antonio salaverrío manipular juicio vencer contrapunto juan tennant wright costar millón insinuar antonio salaverrío manipular demandante indicar presentar obra arte jurídico penal demostrar muchísimo razón juan tennant wright condenado
MiXterKoji,@MiXterKoji,2021-12-01 16:33:58+00:00,"MiXterKoji
@MiXterKoji
·
1 dic.","Creo que Colombia empezará su camino al desarrollo la quincena en que los servidores de 
@Davivienda
 @DaviPlata
 @Bancolombia
 y 
@Nequi
 no se caigan... O será buscar otras alternativas...
1",1,0,0,2021-12-01,192,creer colombio empezar camino desarrollo quincena servidor daviplata bancolombia nequi caer buscar alternativa
Daniela Abdelnur,@DaniAbdelnur,2021-12-01 17:33:49+00:00,"Daniela Abdelnur
@DaniAbdelnur
·
1 dic.","En respuesta a 
@SebastianRegino
 y 
@Davivienda
Pensé que era la única… no funciona nada
3
1",3,0,1,2021-12-01,93,sebastianregino pensar único funcionar
Stiven De Jesus Samp,@StivenSamp,2021-12-01 21:39:40+00:00,"Stiven De Jesus Samp
@StivenSamp
·
1 dic.","Respondiendo a 
@cafenofilo
 @tagy_petus
 y 3 más
De que se trata esa app?
1",0,0,1,2021-12-01,76,cafenofilo tagy _petus tratar
Valora Analitik,@ValoraAnalitik,2021-12-01 16:22:49+00:00,"Valora Analitik
@ValoraAnalitik
·
1 dic.","#Macroeconomía  
El Equipo de Estudios Económicos del #GrupoBolívar dio a conocer el Índice de Gestión de Compras (PMI) del sector industrial colombiano de 
@Davivienda
 para noviembre de 2021.
valoraanalitik.com
Aumenta PMI manufacturero en Colombia, pero preocupa la crisis de contenedores
El Equipo de Estudios Económicos del Grupo Bolívar dio a conocer el Índice de Gestión de Compras (PMI) del sector industrial colombiano.
1
1",0,1,1,2021-12-01,432,macroeconomía equipo estudio económico grupobolívar índice gestión compra sector industrial colombiano noviembre 2021 valoraanalitik aumentar manufacturero colombio preocupar crisis contenedor equipo estudio económico grupo bolívar índice gestión compra sector industrial colombiano
CarolusFerrum,@CarolusFerrum,2021-12-01 00:38:14+00:00,"CarolusFerrum
@CarolusFerrum
·
30 nov.","En respuesta a 
@oskar767
 y 
@johngongo
La cara de davivienda que ponen esos ""entrevistadores"" no tiene precio!. 
1
3",1,0,3,2021-12-01,118,oskar767 johngongo cara entrevistador precio
Juan Carlos Reyes,@reyes_juank,2021-12-01 20:06:28+00:00,"Juan Carlos Reyes
@reyes_juank
·
1 dic.","En respuesta a 
@Davivienda
Gracias, ya envié el mensaje directo, sin embargo, considero importante que el tema se solucione de manera general y muy pronto ya que veo que a otros usuarios y compañeros les está sucediendo igual.",0,0,0,2021-12-01,227,gracias enviar mensaje directo considerar importante tema solucionar general usuario compañero suceder
Blueangel,@Blueangel2021,2021-12-01 18:12:48+00:00,"Blueangel
@Blueangel2021
·
1 dic.","Y resulta que ahora en los pagos por PSE no me sale la opción de pagar con Davivienda, sólo Daviplata, pero ustedes tienen mi dinero y no voy a meter más dinero.

Por culpa de ustedes 
@Davivienda
 ahora me toca como en el pasado, ir a hacer filas a los bancos.
2
2",2,0,2,2021-12-01,265,resultar pago salir opción pagar daviplato dinero meter dinero culpa davivirdar tocar fila
Carmelo Ramiro Rafael.,@__barataria,2021-12-01 18:20:18+00:00,"Carmelo Ramiro Rafael.
@__barataria
·
1 dic.","Lo logró 
@Davivienda
  ahora su página web y su App son igual de inútiles que las de 
@Bancolombia
 Eso sí, la calculadora de intereses sin funciona 24/7
1
1",1,0,1,2021-12-01,158,lograr davivirdar página inútil bancolombia calculadora interés funcionar
Alejo Gutierrez,@AlejoGB,2021-12-01 20:48:35+00:00,"Alejo Gutierrez
@AlejoGB
·
1 dic.","Srs 
@Davivienda
 
Porque si la mesa de dinero y transacciones int cierra a la 1pm, en el portal, la tasa de negociacion del dolar de remesas no se mantiene en lo que cierra el dolar cuando cierra la mesa de dinero y siguen jugando a bajarle y bajarle?
1",1,0,0,2021-12-01,254,mesa dinero transacción cerrar portal tasa negociacion dolar remesa mantener cerrar dolar cerrar mesa dinero seguir jugar bajar bajar
marian,@2Marianfuentes,2021-12-01 22:32:14+00:00,"marian
@2Marianfuentes
·
1 dic.","@Davivienda
  no responde por los robos de Daviplata cómo es posible que retiraran mi dinero en jamundi Antioquia estando en Bogota!!! Llamo y me dicen que busque a la policía para que encuentre al ladrón. Me cambiaron mi numero de Daviplata sin autorización 
@Davivienda
 respondan
2",2,0,0,2021-12-01,284,robo daviplato retirar dinero jamundi antioquio bogoto llamar buscar policía encontrar ladrón cambiar numero daviplato autorización
Oborinque,@Oborinque,2021-12-01 22:42:56+00:00,"Oborinque
@Oborinque
·
1 dic.","En respuesta a 
@SaraTufanoZ
 y 
@petrogustavo
Preocupación tenemos con usted y varios que dicen estar en el ph y solo atacan y atacan no aportan nada será que están como davivienda el pacto y el futuro gobierno de petro es con todos el baile de los que sobran revísalo",0,0,0,2021-12-01,269,saratufanoz petrogustavo preocupación atacar atacar aportar pacto futuro gobierno petro baile sobrar revísalo
David,@David72995006,2021-12-01 02:07:37+00:00,"David
@David72995006
·
30 nov.","En respuesta a 
@KarenTralara
 y 
@metrodemedellin
Ahí tienes tu respuesta 
@karentralara
 el metro nno regala nada solo es un modelo marketing para que las personas usen la cívica pay por medio de davivienda para generar ingresos a davivienda
1",0,0,1,2021-12-01,245,karentralara metrodemedellin karentralaro metro regalar modelo marketing persona cívico generar ingreso
